Season,Team,Player,Min,G+A-PK/90s
2015,Chelsea,Filipe LuÃ­s,942,0
2015,Chelsea,Didier Drogba,869,0.52
2015,Chelsea,Kurt Zouma,647,0
2015,Chelsea,John Obi Mikel,702,0.13
2015,Chelsea,LoÃ¯c RÃ©my,672,0.94
2015,Chelsea,Petr ÄŒech,607,0
2015,Chelsea,AndrÃ© SchÃ¼rrle,436,0.62
2015,Chelsea,Juan Cuadrado,315,0
2015,Chelsea,Ruben Loftus-Cheek,132,0
2015,Chelsea,Mohamed Salah,33,0
2015,Chelsea,Nathan AkÃ©,18,0
2015,Chelsea,Andreas Christensen,13,0
2015,Chelsea,Izzy Brown,12,0
2015,Chelsea,Lewis Baker,0,0
2015,Chelsea,Mitchell Beeney,0,0
2015,Chelsea,Jamal Blackman,0,0
2015,Chelsea,Jeremie Boga,0,0
2015,Chelsea,Mark Schwarzer,0,0
2015,Chelsea,Dominic Solanke,0,0
2015,Chelsea,Fernando Torres,0,0
2016,Leicester City,Wes Morgan,3420,0.05
2016,Leicester City,Kasper Schmeichel,3420,0
2016,Leicester City,Jamie Vardy,3133,0.72
2016,Leicester City,Riyad Mahrez,3034,0.71
2016,Leicester City,Robert Huth,3150,0.09
2016,Leicester City,Danny Drinkwater,3033,0.3
2016,Leicester City,Marc Albrighton,2749,0.26
2016,Leicester City,N'Golo KantÃ©,3022,0.15
2016,Leicester City,Christian Fuchs,2711,0.13
2016,Leicester City,Danny Simpson,2610,0
2016,Leicester City,Shinji Okazaki,2054,0.22
2016,Leicester City,Jeffrey Schlupp,1387,0.19
2016,Leicester City,Andy King,1062,0.25
2016,Leicester City,Leonardo Ulloa,984,0.55
2016,Leicester City,Ritchie De Laet,657,0.14
2016,Leicester City,Marcin Wasilewski,303,0
2016,Leicester City,GÃ¶khan Inler,194,0
2016,Leicester City,Demarai Gray,187,0.48
2016,Leicester City,Daniel Amartey,104,0
2016,Leicester City,Nathan Dyer,220,0.41
2016,Leicester City,Yohan Benalouane,68,0
2016,Leicester City,Andrej KramariÄ‡,24,0
2016,Leicester City,Joe Dodoo,20,0
2016,Leicester City,Ben Chilwell,0,0
2016,Leicester City,Dean Hammond,0,0
2016,Leicester City,Jonny Maddison,0,0
2016,Leicester City,Mark Schwarzer,0,0
2017,Chelsea,Branislav IvanoviÄ‡,589,0
2017,Chelsea,John Terry,496,0.18
2017,Chelsea,Oscar,455,0.2
2017,Chelsea,Kurt Zouma,250,0
2017,Chelsea,Asmir BegoviÄ‡,180,0
2017,Chelsea,Michy Batshuayi,254,2.13
2017,Chelsea,Nathaniel Chalobah,167,0
2017,Chelsea,Nathan AkÃ©,99,0
2017,Chelsea,Kenedy,74,0
2017,Chelsea,Ruben Loftus-Cheek,35,0
2017,Chelsea,Ola Aina,26,0
2017,Chelsea,Eduardo Carvalho,0,0
2017,Chelsea,Dominic Solanke,0,0
2018,Manchester City,Ederson,3194,0
2018,Manchester City,Kevin De Bruyne,3073,0.7
2018,Manchester City,NicolÃ¡s Otamendi,2967,0.12
2018,Manchester City,Fernandinho,2881,0.25
2018,Manchester City,Kyle Walker,2785,0.19
2018,Manchester City,Raheem Sterling,2587,0.97
2018,Manchester City,David Silva,2430,0.74
2018,Manchester City,Leroy SanÃ©,2419,0.93
2018,Manchester City,Sergio AgÃ¼ero,1963,1.05
2018,Manchester City,Fabian Delph,1741,0.16
2018,Manchester City,Gabriel Jesus,1668,0.86
2018,Manchester City,Vincent Kompany,1394,0.13
2018,Manchester City,John Stones,1302,0
2018,Manchester City,Bernardo Silva,1533,0.59
2018,Manchester City,Ä°lkay GÃ¼ndoÄŸan,1517,0.24
2018,Manchester City,Danilo,1349,0.33
2018,Manchester City,Aymeric Laporte,806,0
2018,Manchester City,Oleksandr Zinchenko,532,0
2018,Manchester City,Eliaquim Mangala,488,0
2018,Manchester City,Benjamin Mendy,363,0.25
2018,Manchester City,Claudio Bravo,226,0
2018,Manchester City,Yaya TourÃ©,236,0.76
2018,Manchester City,Brahim DÃ­az,55,0
2018,Manchester City,Phil Foden,49,1.84
2018,Manchester City,Lukas Nmecha,16,0
2018,Manchester City,Tosin Adarabioyo,0,0
2019,Manchester City,Ederson,3420,0.03
2019,Manchester City,Aymeric Laporte,3057,0.18
2019,Manchester City,Bernardo Silva,2854,0.44
2019,Manchester City,Raheem Sterling,2771,0.84
2019,Manchester City,Sergio AgÃ¼ero,2459,0.99
2019,Manchester City,Kyle Walker,2779,0.06
2019,Manchester City,David Silva,2401,0.52
2019,Manchester City,Fernandinho,2377,0.15
2019,Manchester City,Ä°lkay GÃ¼ndoÄŸan,2137,0.38
2019,Manchester City,Leroy SanÃ©,1867,0.96
2019,Manchester City,John Stones,1764,0
2019,Manchester City,Riyad Mahrez,1343,0.74
2019,Manchester City,NicolÃ¡s Otamendi,1236,0
2019,Manchester City,Oleksandr Zinchenko,1151,0.23
2019,Manchester City,Vincent Kompany,1224,0.07
2019,Manchester City,Kevin De Bruyne,975,0.37
2019,Manchester City,Benjamin Mendy,900,0.5
2019,Manchester City,Danilo,807,0.11
2019,Manchester City,Gabriel Jesus,1036,0.78
2019,Manchester City,Fabian Delph,725,0.12
2019,Manchester City,Phil Foden,335,0.27
2019,Manchester City,Claudio Bravo,0,0
2019,Manchester City,Arijanet Muric,0,0
2019,Manchester City,Philippe Sandler,0,0
2020,Liverpool,Virgil van Dijk,3420,0.16
2020,Liverpool,Trent Alexander-Arnold,3175,0.48
2020,Liverpool,Georginio Wijnaldum,2935,0.12
2020,Liverpool,Andrew Robertson,3111,0.41
2020,Liverpool,Roberto Firmino,2988,0.51
2020,Liverpool,Mohamed Salah,2876,0.81
2020,Liverpool,Sadio ManÃ©,2747,0.82
2020,Liverpool,Alisson,2543,0.04
2020,Liverpool,Jordan Henderson,2238,0.36
2020,Liverpool,Fabinho,2079,0.22
2020,Liverpool,Joe Gomez,2004,0
2020,Liverpool,Alex Oxlade-Chamberlain,1485,0.3
2020,Liverpool,James Milner,937,0.19
2020,Liverpool,AdriÃ¡n,875,0
2020,Liverpool,Naby KeÃ¯ta,815,0.55
2020,Liverpool,Dejan Lovren,777,0.12
2020,Liverpool,JoÃ«l Matip,703,0.13
2020,Liverpool,Divock Origi,717,0.63
2020,Liverpool,Adam Lallana,382,0.47
2020,Liverpool,Neco Williams,230,0
2020,Liverpool,Takumi Minamino,249,0
2020,Liverpool,Xherdan Shaqiri,185,0.49
2020,Liverpool,Curtis Jones,126,0.71
2020,Liverpool,Harvey Elliot,8,0
2020,Liverpool,Rhian Brewster,0,0
2020,Liverpool,Ki-Jana Hoever,0,0
2020,Liverpool,CaoimhÃ­n Kelleher,0,0
2020,Liverpool,Andy Lonergan,0,0
2020,Liverpool,Nathaniel Phillips,0,0
